Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
254016,0.920350333055,0.92215659221,0.911966760953,0.92125638326,0.887650112311,0.84546170632,0.879455367724,0.869216660659,0.863118708134,0.858818411827,0.337096681197,0.320626785358,0.34415530165,0.304409007231,0.411765346924,0.606383691231,0.450486709674,0.48827963074,0.489203214645,0.53326189518
258112,0.91674131155,0.927357494831,0.914068043232,0.918897171815,0.889871080716,0.833659629027,0.885333001614,0.875396132469,0.861389080683,0.859093864759,0.351954370737,0.298546239734,0.350146651268,0.323675553004,0.409252484639,0.62954356273,0.423626899719,0.500244011482,0.504830578963,0.513878067334
262208,0.901550074418,0.901610175769,0.913851241271,0.914716164271,0.877415180206,0.826084474723,0.872026364009,0.863415678342,0.879730502764,0.867795785268,0.398024926583,0.379827693105,0.359577715397,0.308187603951,0.452970892191,0.679338951906,0.462245066961,0.50352721413,0.458756109079,0.493461638689
266304,0.900610923767,0.911456644535,0.897782107194,0.903442382812,0.857946256797,0.826837738355,0.876483261585,0.879594087601,0.882742484411,0.868874271711,0.40660777688,0.351518477003,0.40797317028,0.367622286081,0.487554172675,0.651496509711,0.478988230228,0.471271981796,0.451918880145,0.494693507751
270400,0.894406954447,0.896880487601,0.901736696561,0.90583050251,0.857337594032,0.821470975876,0.869463682175,0.883182982604,0.89377228419,0.881039400895,0.420796255271,0.40581381321,0.380558470885,0.349971691767,0.484873682261,0.659813761711,0.526729782422,0.462748736143,0.407305498918,0.44962344567
274496,0.902987380822,0.913169542948,0.908205191294,0.903126498063,0.854047735532,0.834668914477,0.87882010142,0.88063198328,0.893715957801,0.879445513089,0.386273105939,0.337619175514,0.345234592756,0.387012730042,0.483041693767,0.620580474536,0.491088410219,0.454711019993,0.420717855295,0.449621468782
278592,0.884358763695,0.905204852422,0.924750526746,0.911587754885,0.870974779129,0.824202020963,0.87698584795,0.870020727317,0.911924103896,0.879861434301,0.43962820371,0.359639843305,0.294702033202,0.338932047288,0.477203428745,0.645574490229,0.482131759326,0.474632441998,0.359050144752,0.434956183036
282688,0.876349250476,0.905708312988,0.914265493552,0.906532188257,0.867848674456,0.828650176525,0.870690564315,0.88623080651,0.922340929508,0.871108929316,0.482886592547,0.346060991287,0.332411160072,0.350480506817,0.495767235756,0.634240667025,0.482747077942,0.405513564746,0.332563668489,0.456225256125
286784,0.881065785885,0.913377761841,0.903857807318,0.920866727829,0.879562437534,0.827904562155,0.868370234966,0.879585564137,0.909235576789,0.875372946262,0.469987471898,0.316480884949,0.36320622762,0.29908144474,0.478463242451,0.597044686476,0.504212299983,0.437094599009,0.356456498305,0.446924497684
290880,0.898609777292,0.918711344401,0.894161045551,0.91281769673,0.881223897139,0.835060079892,0.882051229477,0.884865621726,0.890431185563,0.880147059759,0.422205487887,0.296831746896,0.389827807744,0.309520383676,0.458527833223,0.575246791045,0.446371306976,0.415463070075,0.43933241566,0.446075727542
